bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"121.56861111111,25.032225,121.56861111111,25.032225",uuuu,85632403,,27645a7bfbd6a0476c3441dcd3c710ee,,fb02e6bc26125486c81a02f74f1e3f5c,25.032225,121.568611,1158785349,uuuu,TW,TW,1501218376,0.000000,0.000000,102026641,N.Y. Bagels Cafe,85923865,115/878/534/9/1158785349.geojson,venue,85679583,,,,TW
"121.57071590424,25.02739089863,121.57071590424,25.02739089863",uuuu,85632403,,feb11f6e9df652378f1b7b0f41cb6448,,75b6a7a6c671ddfba634d5ecfb345529,25.027391,121.570716,1141959907,uuuu,TW,TW,1501579956,0.000000,0.000000,102026641,Xiangshan Trail,85923811,114/195/990/7/1141959907.geojson,venue,85679583,mapzen,,,TW
"121.540031,25.061144,121.540031,25.061144",uuuu,85632403,,263ac9015c97ea99b866fb8468aeeb24,,8a6dca3b550bca937888f9989e5fb372,25.061144,121.540031,1158785347,uuuu,TW,TW,1501218471,0.000000,0.000000,102026641,Lab by Dimension Plus,85923073,115/878/534/7/1158785347.geojson,venue,85679583,mapzen,,1158783295,TW
"121.56025528908,25.039435195064,121.56025528908,25.039435195064",uuuu,85632403,,3f5b663308e212eee8b6347f86ae8249,,7100081fd6615024e405f65c3723f832,25.039435,121.560255,1158782443,uuuu,TW,TW,1501038459,0.000000,0.000000,102026641,Sun Yat-sen Memorial Hall,85923943,115/878/244/3/1158782443.geojson,venue,85679583,mapzen,,,TW
"121.54728611111,25.041597222222,121.54728611111,25.041597222222",uuuu,85632403,,06d712c58ca3076cc291034f777f6809,,4d8a60c891d298337fc97e599b93e1ca,25.041597,121.547286,1158782441,uuuu,TW,TW,1501038438,0.000000,0.000000,102026641,CraftHouse,102551541,115/878/244/1/1158782441.geojson,venue,85679583,mapzen,,,TW
"121.56545877457,25.039610164022,121.56545877457,25.039610164022",uuuu,85632403,,97e8c93f85095160afdb6536f7ee3276,,fa00a6b9377d5e268319b2e5fd86399b,25.039610,121.565459,1141959905,uuuu,TW,TW,1499939554,0.000000,0.000000,102026641,Minder Vegetarian,85923949,114/195/990/5/1141959905.geojson,venue,85679583,mapzen,,,TW
"121.56268000603,25.036781468604,121.56268000603,25.036781468604",uuuu,85632403,,37a6c45f1f3ae66fb9e44dfe27a46511,,ac1b7a8ba3f5ba8a810836ae8f738dce,25.036781,121.562680,1158782447,uuuu,TW,TW,1501038474,0.000000,0.000000,102026641,City Hall Square,85923865,115/878/244/7/1158782447.geojson,venue,85679583,mapzen,,,TW
"121.53049444444,25.030130555556,121.53049444444,25.030130555556",uuuu,85632403,,15f3b322363defddbeb92f7db203dffc,,c33e59309e17a680996d90fa0c48ea84,25.030131,121.530494,1158791909,uuuu,TW,TW,1502319903,0.000000,0.000000,102026641,Libero Coffee & Bar,85922949,115/879/190/9/1158791909.geojson,venue,85679583,,,,TW
"121.50318888889,25.137688888889,121.50318888889,25.137688888889",uuuu,85632403,,7729a7abe7a0960774da105777480356,,9b56c231c12bbc351d8323377d246ae5,25.137689,121.503189,1158785131,uuuu,TW,TW,1501153531,0.000000,0.000000,102026641,Louisa Coffee,85923627,115/878/513/1/1158785131.geojson,venue,85679583,,,,TW
"121.52912020683,25.043887105364,121.52912020683,25.043887105364",uuuu,85632403,,0571f9446c0632da6e3230a6fbe5e754,,5db55d572336f1b26e784bdc4ecce2fa,25.043887,121.529120,1158782433,uuuu,TW,TW,1501038393,0.000000,0.000000,102026641,Huashan 1914 Creative Park,85923287,115/878/243/3/1158782433.geojson,venue,85679583,mapzen,,,TW
